ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,WinnerWonFirstSet,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
1,Brisbane,Brisbane International,1/1/14,ATP250,Outdoor,Hard,2nd Round,3,Federer R.,Nieminen J.,6,39,4205,1090,1,6,4,6,2,0,0,0,0,0,0,2,0,Completed,1.1,6.5,1.12,5.75,1.12,5.5,1.14,6.7,1.13,6,1.15,6.7,1.13,5.77
1,Brisbane,Brisbane International,1/3/14,ATP250,Outdoor,Hard,Quarterfinals,3,Federer R.,Matosevic M.,6,61,4205,774,1,6,1,6,1,0,0,0,0,0,0,2,0,Completed,1.05,9,1.08,7.5,1.11,6,1.08,10.75,1.1,7,1.12,10.75,1.08,7.72
1,Brisbane,Brisbane International,1/4/14,ATP250,Outdoor,Hard,Semifinals,3,Federer R.,Chardy J.,6,34,4205,1175,1,6,3,6,7,6,3,0,0,0,0,2,1,Completed,1.07,9,1.07,8,1.07,7.5,1.08,10.75,1.08,7.5,1.1,11.5,1.07,8.35
6,Melbourne,Australian Open,1/14/14,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Duckworth J.,6,133,4355,425,1,6,4,6,4,6,2,0,0,0,0,3,0,Completed,1.01,21,1.01,13,1.02,17,0,0,1.01,17,1.03,27.25,1.02,15.89
6,Melbourne,Australian Open,1/16/14,Grand Slam,Outdoor,Hard,2nd Round,5,Federer R.,Kavcic B.,6,99,4355,559,1,6,2,6,1,7,6,0,0,0,0,3,0,Completed,1.02,19,1.02,12,1.02,15,1.03,20,1.01,15,1.04,26,1.02,15.98
6,Melbourne,Australian Open,1/18/14,Grand Slam,Outdoor,Hard,3rd Round,5,Federer R.,Gabashvili T.,6,79,4355,651,1,6,2,6,2,6,3,0,0,0,0,3,0,Completed,0,0,1.02,12,1.03,12,1.03,21,1.03,11,1.04,21,1.03,13.11
6,Melbourne,Australian Open,1/20/14,Grand Slam,Outdoor,Hard,4th Round,5,Federer R.,Tsonga J.W.,6,10,4355,3065,1,6,3,7,5,6,4,0,0,0,0,3,0,Completed,1.57,2.37,1.58,2.35,1.57,2.38,1.64,2.45,1.67,2.25,1.67,2.5,1.59,2.34
6,Melbourne,Australian Open,1/22/14,Grand Slam,Outdoor,Hard,Quarterfinals,5,Federer R.,Murray A.,6,4,4355,5560,1,6,3,6,4,6,7,6,3,0,0,3,1,Completed,1.66,2.2,1.7,2.1,1.8,2,1.72,2.28,1.8,2.05,1.83,2.3,1.71,2.15
17,Dubai ,Dubai Tennis Championships,2/24/14,ATP500,Outdoor,Hard,1st Round,3,Federer R.,Becker B.,8,90,4305,605,1,6,1,6,4,0,0,0,0,0,0,2,0,Completed,1.03,15,1.03,11,1.04,9,1.04,13.71,1.05,9,1.05,16,1.03,11.73
17,Dubai ,Dubai Tennis Championships,2/26/14,ATP500,Outdoor,Hard,2nd Round,3,Federer R.,Stepanek R.,8,48,4305,925,1,6,2,6,7,6,3,0,0,0,0,2,1,Completed,1.06,10,1.06,8.5,1.06,8,1.06,11.75,1.06,9,1.08,11.75,1.06,9.39
17,Dubai ,Dubai Tennis Championships,2/27/14,ATP500,Outdoor,Hard,Quarterfinals,3,Federer R.,Rosol L.,8,49,4305,906,1,6,2,6,2,0,0,0,0,0,0,2,0,Completed,1.07,9,1.07,8,1.07,8.5,1.11,8.71,1.08,7.5,1.11,10,1.07,8.33
17,Dubai ,Dubai Tennis Championships,2/28/14,ATP500,Outdoor,Hard,Semifinals,3,Federer R.,Djokovic N.,8,2,4305,10580,0,3,6,6,3,6,2,0,0,0,0,2,1,Completed,4.33,1.22,4,1.22,4.33,1.22,4.55,1.25,3.75,1.25,4.6,1.27,4.17,1.22
17,Dubai ,Dubai Tennis Championships,3/1/14,ATP500,Outdoor,Hard,The Final,3,Federer R.,Berdych T.,8,6,4305,4890,0,3,6,6,4,6,3,0,0,0,0,2,1,Completed,1.66,2.2,1.68,2.15,1.67,2.2,1.74,2.26,1.62,2.25,1.77,2.35,1.67,2.19
19,Indian Wells,BNP Paribas Open,3/8/14,Masters 1000,Outdoor,Hard,2nd Round,3,Federer R.,Mathieu P.H.,8,123,4625,477,1,6,2,7,6,0,0,0,0,0,0,2,0,Completed,1.02,17,1.02,12,1.03,10,1.04,15.5,1.03,11,1.04,17.5,1.03,12.99
19,Indian Wells,BNP Paribas Open,3/10/14,Masters 1000,Outdoor,Hard,3rd Round,3,Federer R.,Tursunov D.,8,30,4625,1212,1,7,6,7,6,0,0,0,0,0,0,2,0,Completed,1.06,10,1.05,9,1.07,7.5,1.07,12,1.06,8.5,1.08,12,1.06,9
19,Indian Wells,BNP Paribas Open,3/13/14,Masters 1000,Outdoor,Hard,4th Round,3,Federer R.,Haas T.,8,12,4625,2435,1,6,4,6,4,0,0,0,0,0,0,2,0,Completed,1.16,5,1.18,4.5,1.22,4.33,1.21,5.13,1.22,4,1.25,5.13,1.2,4.45
19,Indian Wells,BNP Paribas Open,3/14/14,Masters 1000,Outdoor,Hard,Quarterfinals,3,Federer R.,Anderson K.,8,18,4625,1940,1,7,5,6,1,0,0,0,0,0,0,2,0,Completed,1.16,5,1.2,4.3,1.2,4.5,1.21,5.25,1.17,5,1.22,5.25,1.19,4.64
19,Indian Wells,BNP Paribas Open,3/15/14,Masters 1000,Outdoor,Hard,Semifinals,3,Federer R.,Dolgopolov O.,8,31,4625,1205,1,6,3,6,1,0,0,0,0,0,0,2,0,Completed,1.25,4,1.25,3.75,1.3,3.5,1.31,3.92,1.33,3.25,1.34,4.1,1.28,3.63
20,Miami,Sony Ericsson Open,3/21/14,Masters 1000,Outdoor,Hard,2nd Round,3,Federer R.,Karlovic I.,5,53,5045,881,1,6,4,7,6,0,0,0,0,0,0,2,0,Completed,1.08,8,1.08,7.5,1.1,6.5,1.09,9.5,1.08,7.5,1.1,9.5,1.08,7.59
20,Miami,Sony Ericsson Open,3/23/14,Masters 1000,Outdoor,Hard,3rd Round,3,Federer R.,De Bakker T.,5,162,5045,334,1,6,3,6,3,0,0,0,0,0,0,2,0,Completed,1.02,19,1.02,12,1.03,10,1.02,25.5,1.03,11,1.04,25.5,1.02,14.51
20,Miami,Sony Ericsson Open,3/25/14,Masters 1000,Outdoor,Hard,4th Round,3,Federer R.,Gasquet R.,5,9,5045,2905,1,6,1,6,2,0,0,0,0,0,0,2,0,Completed,1.11,6,1.12,5.75,1.11,6.5,1.15,6.73,1.14,5.5,1.15,7,1.12,6.18
23,Monte Carlo,Monte Carlo Masters,4/16/14,Masters 1000,Outdoor,Clay,2nd Round,3,Federer R.,Stepanek R.,4,41,5355,1040,1,6,1,6,2,0,0,0,0,0,0,2,0,Completed,1.08,8,1.06,8.5,1.07,7.5,1.12,7.41,1.1,7,1.13,9,1.09,7.15
23,Monte Carlo,Monte Carlo Masters,4/17/14,Masters 1000,Outdoor,Clay,3rd Round,3,Federer R.,Rosol L.,4,47,5355,971,1,6,4,6,1,0,0,0,0,0,0,2,0,Completed,1.06,10,1.05,9,1.05,10,1.08,10.75,1.05,12,1.08,12.5,1.05,10.01
23,Monte Carlo,Monte Carlo Masters,4/18/14,Masters 1000,Outdoor,Clay,Quarterfinals,3,Federer R.,Tsonga J.W.,4,12,5355,2550,0,2,6,7,6,6,1,0,0,0,0,2,1,Completed,1.25,4,1.25,3.75,1.3,3.5,1.29,4.09,1.29,3.75,1.3,4.33,1.26,3.81
23,Monte Carlo,Monte Carlo Masters,4/19/14,Masters 1000,Outdoor,Clay,Semifinals,3,Federer R.,Djokovic N.,4,2,5355,11680,1,7,5,6,2,0,0,0,0,0,0,2,0,Completed,3.75,1.28,3.5,1.28,3.25,1.36,3.45,1.37,3.4,1.33,3.75,1.37,3.35,1.32
32,Paris,French Open,5/25/14,Grand Slam,Outdoor,Clay,1st Round,5,Federer R.,Lacko L.,4,87,5125,617,1,6,2,6,4,6,2,0,0,0,0,3,0,Completed,1.01,26,1.02,12,1.02,17,1.01,27.22,1.02,13,1.03,27.22,1.02,16.47
32,Paris,French Open,5/28/14,Grand Slam,Outdoor,Clay,2nd Round,5,Federer R.,Schwartzman D.,4,109,5125,533,1,6,3,6,4,6,4,0,0,0,0,3,0,Completed,1.01,26,1.01,13,1.01,26,1.01,22.22,1.02,13,1.02,26,1.01,17.01
